INSTRUMENT,PREDICTION,MEAN,RELATIVE
EUR_DKK_vol,6928.5,5563.508078994614,1.2453473422927166
AUD_USD_vol,13755.9,11094.78276481149,1.2398530274633748
GBP_NZD_vol,218648.5,177801.7199281867,1.2297321988128749
XCU_USD_vol,76225.3,62027.202872531416,1.2289011348238013
XAU_NZD_vol,88282.1,72186.00359066427,1.2229808495925298
USD_HUF_vol,135890.9,111899.50987432674,1.2144012083039304
EUR_CHF_vol,19690.5,16281.168761220826,1.2094033474365589
XAU_HKD_vol,53868.5,44607.68402154399,1.2076058459789878
USD_PLN_vol,202818.0,168806.0448833034,1.201485409721016
NZD_USD_vol,44036.7,36877.12926391383,1.194146639909202
USD_SEK_vol,441164.4,370161.3321364453,1.1918165451095315
EUR_USD_vol,154062.8,129630.71633752245,1.1884744939529854
AUD_NZD_vol,114638.8,96484.65888689407,1.1881557267501712
GBP_SGD_vol,126997.7,106972.0592459605,1.187204405479328
EUR_NZD_vol,211070.3,178890.63375224418,1.1798845784867824
GBP_CAD_vol,197381.7,168369.72710951525,1.1723111000329296
XAG_EUR_vol,84677.1,72445.89946140036,1.1688321993312611
EUR_HKD_vol,152606.3,132008.47396768403,1.1560341197289983
EUR_GBP_vol,23231.2,20480.355475763015,1.1343162489289995
XAU_GBP_vol,125198.2,111127.51705565529,1.126617450989189
USD_DKK_vol,242021.8,215092.32854578097,1.1251995905027699
XAG_GBP_vol,87194.1,78102.83482944344,1.1164012188598476
XAG_CAD_vol,70965.1,63765.46678635548,1.1129080296356444
USD_MXN_vol,522601.1,476792.77917414723,1.096075953384188
US30_USD_vol,146985.6,134356.763016158,1.0939947993710093
XAG_SGD_vol,53485.0,49966.719928186714,1.0704124680761482
SGD_HKD_vol,54857.6,51508.52962298025,1.0650197239473438
XAG_CHF_vol,22853.0,21664.58527827648,1.0548551798457535
USD_CZK_vol,219974.3,208775.69299820467,1.053639419613334
EUR_SGD_vol,108065.4,102682.66786355476,1.0524210389975244
AUD_CHF_vol,24007.8,22860.052064631956,1.0502075818604013
NL25_EUR_vol,38761.0,36965.04308797127,1.0485852784684877
AUD_CAD_vol,94247.7,90432.23877917415,1.0421913829883478
GBP_CHF_vol,143644.5,139316.1813285458,1.0310683125978515
EUR_CAD_vol,175346.2,170155.58886894074,1.0305050875234973
NZD_CAD_vol,107899.6,105113.63195691202,1.0265043457372873
USD_SGD_vol,48041.6,46965.80430879713,1.0229059356490433
XAU_SGD_vol,82212.3,80387.3303411131,1.0227022050756367
FR40_EUR_vol,46137.9,45692.36804308797,1.0097506865149097
ZAR_JPY_vol,11582.1,11517.88330341113,1.0055753904512865
CAD_SGD_vol,72989.8,72777.039497307,1.0029234564110137
NZD_CHF_vol,39986.1,40159.49910233393,0.9956822394150864
XAU_USD_vol,36285.8,36915.24775583483,0.9829488410859889
EUR_AUD_vol,17324.4,17700.402154398565,0.9787574230732873
NZD_SGD_vol,53460.3,54774.55116696589,0.976006171863285
XAU_XAG_vol,28245.0,29068.52603231598,0.9716694946485952
SGD_CHF_vol,30543.0,31512.824057450627,0.9692244638029727
AUD_JPY_vol,115563.9,120117.41113105924,0.9620911649012237
XAU_EUR_vol,101039.8,105270.41831238779,0.9598118979651671
EUR_JPY_vol,26289.8,27483.867145421904,0.9565538889013002
XAU_CAD_vol,92482.0,96715.9461400359,0.9562228742103651
XAU_AUD_vol,44566.9,46634.245960502696,0.9556689313202651
XAU_CHF_vol,51050.0,53565.14901256732,0.9530450477795325
SPX500_USD_vol,25075.2,27370.682226211848,0.9161335399958153
CAD_JPY_vol,86029.9,101503.88868940754,0.8475527500551578
CHF_JPY_vol,100536.3,119971.33213644524,0.8380026978916807
UK10YB_GBP_vol,12617.5,15539.685816876123,0.8119533527696793
AUD_SGD_vol,32835.8,40766.10951526032,0.8054680809731991
SGD_JPY_vol,81637.2,103326.6104129264,0.7900888229445586
NZD_JPY_vol,79338.1,104778.82944344704,0.7571958994142196
NATGAS_USD_vol,4167.0,5543.45960502693,0.7516966473826694
SUGAR_USD_vol,2589.3,3754.56552962298,0.6896403803771161
HKD_JPY_vol,76502.2,114842.91561938959,0.6661464452325668
USD_JPY_vol,66024.6,106899.11131059246,0.617634694905623
DE10YB_EUR_vol,10619.6,17212.728904847398,0.6169620202993693
XAU_JPY_vol,51299.1,91698.24057450629,0.5594338525865026
GBP_JPY_vol,69647.0,132613.1526032316,0.5251892337434921
EU50_EUR_vol,4090.8,8287.798922800717,0.49359305626319244
XAG_JPY_vol,5936.6,12063.019748653502,0.4921321628991493
USB02Y_USD_vol,626.4,1496.0789946140035,0.418694468844952
USB10Y_USD_vol,2712.3,6870.260323159785,0.3947885338284464
USB05Y_USD_vol,1197.5,6225.689407540395,0.19234817569755708
USB30Y_USD_vol,1527.7,9182.678635547576,0.16636757754823694
