,WHEAT_USD,CORN_USD,SUGAR_USD
113,5.077,3.928,0.13496
114,5.114,3.936,0.13526
115,5.09,3.937,0.13488
116,5.094,3.941,0.13528
117,5.078,3.931,0.13618
118,5.105,3.944,0.13532
119,5.161,3.942,0.13464
120,5.096,3.942,0.13126
121,5.072,3.93,0.1316
122,5.051,3.929,0.13268
123,5.056,3.935,0.133
124,5.057,3.938,0.13372
125,5.186,3.964,0.13418
126,5.21,3.97,0.13542
127,5.174,3.964,0.13592
128,5.184,3.968,0.13522
129,5.168,3.961,0.13814
130,5.156,3.961,0.13754
131,5.134,3.969,0.13746
132,5.084,3.952,0.13726
133,5.023,3.941,0.1365
134,5.054,3.948,0.1379
135,5.001,3.934,0.1389
136,5.02,3.934,0.13862
137,4.987,3.913,0.13872
138,4.966,3.909,0.13536
139,4.943,3.896,0.13588
140,4.955,3.901,0.13618
141,4.941,3.906,0.13598
142,4.973,3.929,0.1368
143,4.993,3.925,0.1367
144,5.003,3.934,0.13626
145,4.969,3.937,0.1349
146,4.977,3.938,0.13376
147,4.966,3.937,0.1339
148,4.946,3.928,0.13458
149,4.927,3.925,0.13394
150,4.957,3.928,0.1338
151,4.977,3.933,0.13418
152,4.97,3.936,0.13532
153,4.98,3.941,0.13574
154,4.944,3.927,0.13536
155,4.912,3.937,0.13506
156,4.915,3.915,0.13332
157,4.901,3.91,0.13462
158,4.899,3.913,0.13412
159,4.897,3.916,0.13304
160,4.87,3.895,0.13296
161,4.849,3.882,0.13336
162,4.842,3.872,0.13388
163,4.83,3.859,0.13464
164,4.828,3.866,0.135
165,4.813,3.862,0.1366
166,4.806,3.862,0.13618
167,4.815,3.882,0.13644
168,4.79,3.874,0.13654
169,4.82,3.907,0.13626
170,4.818,3.904,0.13626
171,4.816,3.9,0.13564
172,4.799,3.894,0.13542
173,4.755,3.898,0.1333
174,4.807,3.927,0.13026
175,4.817,3.942,0.13094
176,4.82,3.933,0.13408
177,4.825,3.938,0.13508
178,4.842,3.953,0.13538
179,4.801,3.909,0.1373
180,4.828,3.902,0.1385
181,4.829,3.905,0.13868
182,4.845,3.912,0.13844
183,4.886,3.922,0.13614
184,4.92,3.927,0.13628
185,4.896,3.901,0.13758
186,4.843,3.867,0.13718
187,4.875,3.874,0.13646
188,4.906,3.909,0.13674
189,4.941,3.921,0.13594
190,4.915,3.907,0.13446
191,4.998,3.94,0.13238
192,5.054,3.937,0.12964
193,5.118,3.989,0.13154
194,5.106,3.984,0.13174
195,5.068,3.972,0.13092
196,5.092,3.978,0.13072
197,4.998,3.967,0.1298
198,4.961,3.944,0.1304
199,4.934,3.937,0.12982
200,4.96,3.942,0.12942
201,4.989,3.954,0.13048
202,5.065,3.979,0.1305
203,5.146,3.974,0.1296
204,5.09,3.962,0.12746
205,5.125,3.977,0.12756
206,5.104,3.981,0.12724
207,5.063,3.957,0.129
208,5.104,3.971,0.12894
209,5.186,3.998,0.12772
210,5.198,4.005,0.1286
211,5.184,4.008,0.1282
212,5.189,4.011,0.1275
213,5.254,4.026,0.1279
214,5.27,4.034,0.1277
215,5.239,3.985,0.1258
216,5.19,3.965,0.12954
217,5.198,3.968,0.12932
218,5.19,3.973,0.128
219,5.216,3.978,0.12668
220,5.256,3.979,0.12708
221,5.303,3.984,0.12858
222,5.326,3.988,0.12766
223,5.372,4.014,0.12766
224,5.397,4.024,0.12804
225,5.409,4.024,0.12866
226,5.377,3.995,0.12884
227,5.263,3.924,0.12752
228,5.271,3.931,0.12702
229,5.172,3.897,0.12634
230,5.191,3.897,0.12636
231,5.181,3.91,0.12532
232,5.182,3.905,0.1252
233,5.135,3.869,0.1257
234,5.138,3.866,0.1265
235,5.1,3.881,0.12428
236,5.092,3.879,0.12316
237,5.12,3.902,0.12286
238,5.15,3.899,0.12334
239,5.148,3.879,0.12314
240,5.15,3.873,0.12424
241,5.156,3.885,0.12424
242,5.164,3.895,0.12546
243,5.117,3.891,0.12488
244,5.099,3.889,0.12554
245,5.111,3.849,0.12512
246,5.133,3.847,0.1235
247,5.1,3.826,0.1245
248,5.102,3.833,0.12318
249,5.068,3.821,0.12298
250,5.058,3.817,0.12408
251,4.999,3.778,0.12428
252,4.982,3.753,0.12396
253,5.008,3.761,0.12394
254,5.03,3.783,0.12394
255,5.033,3.783,0.12408
256,5.05,3.78,0.12418
257,5.034,3.789,0.12398
258,5.012,3.779,0.12254
259,5.032,3.805,0.12064
260,5.056,3.807,0.12154
261,5.054,3.791,0.12096
262,5.077,3.786,0.12042
263,5.134,3.756,0.121
264,5.13,3.734,0.121
265,5.177,3.75,0.12108
266,5.182,3.756,0.12088
267,5.232,3.752,0.12218
268,5.244,3.754,0.12288
269,5.161,3.696,0.12146
270,5.193,3.715,0.121
271,5.228,3.716,0.1225
272,5.188,3.706,0.12008
273,5.118,3.693,0.11876
274,5.208,3.716,0.11816
275,5.119,3.736,0.11686
276,5.145,3.727,0.11708
277,5.185,3.737,0.11674
278,5.174,3.737,0.11754
279,5.152,3.728,0.11792
280,5.154,3.717,0.11792
281,5.087,3.652,0.11802
282,5.076,3.627,0.1173
283,5.043,3.637,0.11648
284,5.058,3.655,0.11698
285,5.098,3.658,0.11542
286,5.123,3.66,0.11572
287,5.264,3.73,0.11246
288,5.278,3.722,0.1124
289,5.255,3.723,0.1116
290,5.218,3.714,0.11194
291,5.206,3.716,0.11044
292,5.214,3.72,0.10848
293,5.096,3.709,0.10966
294,5.1,3.717,0.10978
295,5.048,3.685,0.11018
296,5.055,3.689,0.11244
297,5.015,3.688,0.11236
298,5.004,3.666,0.11108
299,5.017,3.641,0.11494
300,4.959,3.593,0.11422
301,4.956,3.59,0.11402
302,4.958,3.587,0.11522
303,4.912,3.565,0.11524
304,4.848,3.536,0.11416
305,4.936,3.634,0.11524
306,4.938,3.573,0.1129
307,4.883,3.566,0.11306
308,4.914,3.562,0.11528
309,4.888,3.555,0.1151
310,4.87,3.545,0.1147
311,4.864,3.535,0.1153
312,4.845,3.521,0.11492
313,4.846,3.486,0.11552
314,4.804,3.469,0.11356
315,4.778,3.46,0.11374
316,4.752,3.45,0.11232
317,4.728,3.502,0.11228
318,4.739,3.507,0.11326
319,4.73,3.497,0.11426
320,4.783,3.515,0.11368
321,4.799,3.522,0.1131
322,4.808,3.525,0.11172
323,4.77,3.489,0.11104
324,4.838,3.506,0.11066
325,4.848,3.508,0.11136
326,4.802,3.482,0.11058
327,4.816,3.489,0.11048
328,4.904,3.524,0.11078
329,4.886,3.529,0.11086
330,4.911,3.542,0.11076
331,4.9,3.552,0.11126
332,4.893,3.556,0.11168
333,4.914,3.553,0.11178
334,4.866,3.548,0.11386
335,4.874,3.542,0.11348
336,4.852,3.543,0.113
337,4.78,3.516,0.11448
338,4.779,3.508,0.1151
339,4.762,3.52,0.1155
340,4.758,3.519,0.11442
341,4.744,3.48,0.11394
342,4.73,3.473,0.11484
343,4.74,3.477,0.11544
344,4.73,3.468,0.1161
345,4.735,3.486,0.11828
346,4.764,3.518,0.11968
347,4.652,3.47,0.1205
348,4.665,3.499,0.1207
349,4.674,3.506,0.1206
350,4.685,3.504,0.12052
351,4.688,3.505,0.12162
352,4.694,3.519,0.12222
353,4.716,3.512,0.12312
354,4.714,3.5,0.12382
355,4.702,3.496,0.12234
356,4.69,3.5,0.12216
357,4.684,3.493,0.12276
358,4.718,3.496,0.12324
359,4.689,3.498,0.12402
360,4.666,3.433,0.12358
361,4.673,3.443,0.1234
362,4.697,3.446,0.12282
363,4.716,3.461,0.12372
364,4.717,3.466,0.12442
365,4.872,3.501,0.12504
366,4.834,3.486,0.12622
367,4.86,3.491,0.12692
368,4.846,3.494,0.12794
369,4.876,3.494,0.12834
370,4.882,3.478,0.12418
371,4.692,3.397,0.12406
372,4.647,3.376,0.12386
373,4.668,3.391,0.11812
374,4.689,3.386,0.11892
375,4.728,3.398,0.11992
376,4.758,3.413,0.11964
377,4.748,3.418,0.11994
378,4.746,3.425,0.12092
379,4.883,3.412,0.12164
380,4.883,3.414,0.12206
381,4.884,3.407,0.1189
382,4.875,3.409,0.1171
383,4.846,3.405,0.11578
384,4.888,3.439,0.11852
385,4.901,3.468,0.122
386,4.981,3.494,0.1218
387,4.934,3.469,0.1229
388,4.923,3.469,0.12356
389,4.942,3.472,0.12392
390,4.936,3.459,0.12382
391,4.921,3.434,0.12298
392,4.926,3.448,0.12254
393,4.906,3.444,0.12384
394,4.864,3.438,0.1245
395,4.852,3.418,0.12468
396,4.842,3.418,0.12268
397,4.748,3.364,0.1221
398,4.766,3.386,0.12042
399,4.733,3.361,0.12112
400,4.753,3.365,0.11982
401,4.7,3.348,0.1201
402,4.724,3.363,0.12052
403,4.63,3.327,0.11962
404,4.598,3.32,0.1187
405,4.622,3.344,0.1178
406,4.632,3.344,0.11876
407,4.634,3.352,0.11898
408,4.611,3.338,0.11988
409,4.678,3.362,0.11888
410,4.696,3.362,0.1185
411,4.749,3.368,0.1196
412,4.745,3.368,0.11852
413,4.754,3.358,0.11968
414,4.74,3.35,0.12034
415,4.785,3.32,0.12008
416,4.821,3.32,0.12052
417,4.812,3.323,0.12002
418,4.798,3.317,0.11998
419,4.82,3.316,0.1204
420,4.792,3.331,0.1208
421,4.772,3.336,0.1209
422,4.75,3.337,0.1214
423,4.776,3.375,0.11898
424,4.79,3.378,0.11752
425,4.81,3.373,0.1189
426,4.832,3.378,0.11926
427,4.884,3.397,0.1193
428,4.852,3.384,0.1184
429,4.909,3.399,0.11772
430,4.885,3.4,0.11904
431,4.902,3.399,0.11854
432,4.895,3.404,0.11534
433,4.834,3.393,0.1127
434,4.816,3.388,0.1138
435,4.816,3.394,0.11332
436,4.815,3.395,0.11156
437,4.786,3.386,0.11248
438,4.82,3.387,0.11172
439,4.9,3.428,0.11228
440,4.898,3.43,0.11164
441,4.93,3.441,0.11096
442,4.907,3.441,0.11254
443,4.934,3.444,0.11164
444,4.958,3.451,0.1134
445,5.039,3.466,0.11164
446,5.025,3.472,0.11146
447,5.029,3.481,0.11216
448,5.012,3.482,0.11168
449,5.052,3.482,0.1113
450,5.061,3.488,0.11078
451,5.066,3.495,0.11024
452,5.008,3.497,0.10898
453,4.984,3.463,0.1089
454,4.994,3.464,0.109
455,4.986,3.467,0.10784
456,4.956,3.46,0.10756
457,5.01,3.475,0.10706
458,4.987,3.456,0.10734
459,5.01,3.457,0.10866
460,5.023,3.46,0.10958
461,5.062,3.472,0.10942
462,5.104,3.478,0.1082
463,5.293,3.515,0.10924
464,5.293,3.51,0.10858
465,5.338,3.552,0.10838
466,5.338,3.565,0.10858
467,5.398,3.579,0.1085
468,5.382,3.574,0.10802
469,5.293,3.565,0.10784
470,5.232,3.538,0.10786
471,5.232,3.529,0.10932
472,5.286,3.561,0.10904
473,5.28,3.561,0.1098
474,5.18,3.53,0.10922
475,5.197,3.546,0.10874
476,5.18,3.547,0.10954
477,5.246,3.577,0.10984
478,5.248,3.572,0.10994
479,5.26,3.58,0.11074
480,5.285,3.59,0.11056
481,5.356,3.607,0.10968
482,5.337,3.603,0.1099
483,5.35,3.62,0.10794
484,5.329,3.611,0.10872
485,5.32,3.616,0.10874
486,5.433,3.642,0.10748
487,5.37,3.636,0.10688
488,5.433,3.658,0.10736
489,5.45,3.658,0.10796
490,5.412,3.65,0.10658
491,5.446,3.649,0.10602
492,5.481,3.637,0.10552
493,5.486,3.635,0.10406
494,5.479,3.592,0.10418
495,5.512,3.601,0.1033
496,5.507,3.599,0.10378
497,5.514,3.601,0.10322
498,5.56,3.622,0.10282
499,5.577,3.629,0.10598
